# File generated by CMD 2.7 (http://stev.oapd.inaf.it/cmd) on Mon Jun 15 15:12:25 CEST 2015
# Basic reference: Marigo et al. (2008, A&A 482, 883) 
# but applying the corrections from Case A in Girardi et al. (2010, ApJ 724, 1030) 
# + Bertelli et al. (1994, A&AS, 106, 275) for the Mi>7.0 Msun interval
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using OBC version of bolometric corrections as detailed in Marigo et al. (2008, A&A 482, 883) and Girardi et al. (2008, PASP 120, 583)
# BCs of Carbon stars derive from Loidl et al. (2001, A&A 342, 531)
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: SSP integrated magnitudes
#	Z	Age		mbol    U       B       V       R       I       J       H       K
	0.0290	3.98e+06	-2.306	-1.112	-0.192	0.003	0.081	0.189	0.449	0.516	0.580
	0.0290	4.07e+06	-2.270	-1.083	-0.176	0.015	0.089	0.194	0.446	0.509	0.571
	0.0290	4.17e+06	-2.255	-1.049	-0.153	0.034	0.105	0.206	0.450	0.510	0.570
	0.0290	4.27e+06	-2.219	-1.010	-0.126	0.057	0.126	0.223	0.459	0.516	0.573
	0.0290	4.37e+06	-2.182	-0.961	-0.087	0.094	0.160	0.255	0.483	0.536	0.592
	0.0290	4.47e+06	-2.142	-0.913	-0.053	0.122	0.185	0.275	0.491	0.539	0.591
	0.0290	4.57e+06	-2.102	-0.840	0.038	0.214	0.277	0.366	0.579	0.620	0.671
	0.0290	4.68e+06	-2.065	-0.801	0.091	0.272	0.338	0.431	0.650	0.692	0.743
	0.0290	4.79e+06	-2.035	-0.760	0.147	0.329	0.395	0.488	0.704	0.740	0.790
	0.0290	4.90e+06	-2.004	-0.720	0.199	0.382	0.447	0.539	0.747	0.773	0.821
	0.0290	5.01e+06	-1.969	-0.686	0.244	0.426	0.490	0.578	0.774	0.786	0.829
	0.0290	5.13e+06	-1.931	-0.665	0.273	0.453	0.514	0.598	0.776	0.770	0.808
	0.0290	5.25e+06	-1.896	-0.660	0.276	0.451	0.506	0.582	0.736	0.708	0.739
	0.0290	5.37e+06	-1.862	-0.674	0.236	0.398	0.442	0.504	0.622	0.568	0.588
	0.0290	5.50e+06	-1.826	-0.690	0.157	0.288	0.310	0.342	0.392	0.303	0.309
	0.0290	5.62e+06	-1.788	-0.663	0.145	0.201	0.166	0.130	0.038	-0.133	-0.156
	0.0290	5.75e+06	-1.746	-0.638	0.214	0.234	0.151	0.058	-0.176	-0.463	-0.512
	0.0290	5.89e+06	-1.700	-0.680	0.130	0.168	0.103	0.028	-0.174	-0.448	-0.495
	0.0290	6.03e+06	-1.648	-0.686	0.055	0.084	0.018	-0.057	-0.250	-0.513	-0.559
	0.0290	6.17e+06	-1.591	-0.623	0.098	0.120	0.049	-0.033	-0.239	-0.510	-0.559
	0.0290	6.31e+06	-1.558	-0.604	0.093	0.110	0.036	-0.048	-0.258	-0.530	-0.581
	0.0290	6.46e+06	-1.525	-0.579	0.085	0.098	0.022	-0.066	-0.281	-0.555	-0.607
	0.0290	6.61e+06	-1.492	-0.546	0.079	0.085	0.007	-0.085	-0.308	-0.584	-0.637
	0.0290	6.76e+06	-1.457	-0.510	0.086	0.077	-0.008	-0.107	-0.340	-0.618	-0.674
	0.0290	6.92e+06	-1.422	-0.465	0.100	0.073	-0.021	-0.130	-0.377	-0.659	-0.716
	0.0290	7.08e+06	-1.385	-0.408	0.127	0.075	-0.030	-0.151	-0.417	-0.704	-0.765
	0.0290	7.24e+06	-1.348	-0.337	0.178	0.093	-0.030	-0.170	-0.462	-0.758	-0.822
	0.0290	7.41e+06	-1.310	-0.256	0.257	0.128	-0.023	-0.188	-0.514	-0.823	-0.891
	0.0290	7.59e+06	-1.271	-0.167	0.367	0.177	-0.012	-0.208	-0.574	-0.901	-0.973
	0.0290	7.76e+06	-1.231	-0.076	0.493	0.239	0.007	-0.224	-0.636	-0.990	-1.066
	0.0290	7.94e+06	-1.191	0.012	0.622	0.315	0.041	-0.226	-0.694	-1.085	-1.165
	0.0290	8.13e+06	-1.151	0.091	0.746	0.406	0.092	-0.212	-0.745	-1.183	-1.267
	0.0290	8.32e+06	-1.109	0.162	0.862	0.509	0.162	-0.176	-0.788	-1.280	-1.372
	0.0290	8.51e+06	-1.067	0.223	0.969	0.628	0.257	-0.118	-0.822	-1.374	-1.482
	0.0290	8.71e+06	-1.022	0.263	1.058	0.777	0.404	-0.003	-0.784	-1.395	-1.521
	0.0290	8.91e+06	-0.978	0.290	1.122	0.914	0.556	0.125	-0.708	-1.371	-1.514
	0.0290	9.12e+06	-0.932	0.314	1.155	0.995	0.664	0.238	-0.601	-1.284	-1.430
	0.0290	9.33e+06	-0.898	0.336	1.169	1.007	0.686	0.273	-0.546	-1.219	-1.361
	0.0290	9.55e+06	-0.868	0.357	1.179	1.011	0.692	0.287	-0.518	-1.184	-1.325
	0.0290	9.77e+06	-0.838	0.378	1.189	1.016	0.702	0.303	-0.490	-1.150	-1.290
	0.0290	1.00e+07	-0.807	0.399	1.197	1.023	0.715	0.321	-0.461	-1.118	-1.257
	0.0290	1.02e+07	-0.775	0.420	1.205	1.032	0.730	0.342	-0.432	-1.086	-1.226
	0.0290	1.05e+07	-0.743	0.440	1.212	1.042	0.747	0.365	-0.402	-1.055	-1.195
	0.0290	1.07e+07	-0.710	0.459	1.218	1.054	0.767	0.390	-0.372	-1.026	-1.166
	0.0290	1.10e+07	-0.677	0.478	1.223	1.067	0.788	0.416	-0.342	-0.997	-1.138
	0.0290	1.12e+07	-0.644	0.496	1.228	1.082	0.812	0.444	-0.312	-0.970	-1.112
	0.0290	1.15e+07	-0.610	0.515	1.234	1.099	0.838	0.474	-0.283	-0.944	-1.087
	0.0290	1.17e+07	-0.576	0.535	1.241	1.119	0.865	0.505	-0.254	-0.920	-1.063
	0.0290	1.20e+07	-0.541	0.556	1.251	1.140	0.894	0.536	-0.226	-0.896	-1.040
	0.0290	1.23e+07	-0.505	0.578	1.264	1.165	0.925	0.568	-0.198	-0.874	-1.019
	0.0290	1.26e+07	-0.467	0.600	1.281	1.193	0.962	0.611	-0.150	-0.826	-0.971
	0.0290	1.29e+07	-0.428	0.614	1.297	1.230	1.016	0.682	-0.064	-0.737	-0.882
	0.0290	1.32e+07	-0.386	0.658	1.359	1.295	1.080	0.745	-0.007	-0.683	-0.827
	0.0290	1.35e+07	-0.350	0.686	1.387	1.324	1.113	0.785	0.045	-0.624	-0.766
	0.0290	1.38e+07	-0.321	0.714	1.414	1.346	1.131	0.798	0.054	-0.616	-0.758
	0.0290	1.41e+07	-0.291	0.742	1.442	1.368	1.149	0.813	0.064	-0.608	-0.750
	0.0290	1.45e+07	-0.261	0.771	1.470	1.392	1.169	0.829	0.075	-0.599	-0.741
	0.0290	1.48e+07	-0.231	0.799	1.499	1.417	1.190	0.846	0.086	-0.590	-0.732
	0.0290	1.51e+07	-0.200	0.828	1.528	1.443	1.213	0.864	0.099	-0.580	-0.722
	0.0290	1.55e+07	-0.168	0.856	1.558	1.470	1.236	0.884	0.113	-0.569	-0.711
	0.0290	1.58e+07	-0.137	0.885	1.588	1.498	1.261	0.904	0.127	-0.558	-0.701
	0.0290	1.62e+07	-0.104	0.915	1.619	1.527	1.287	0.925	0.143	-0.547	-0.690
	0.0290	1.66e+07	-0.071	0.945	1.651	1.559	1.315	0.948	0.159	-0.535	-0.679
	0.0290	1.70e+07	-0.037	0.976	1.683	1.591	1.344	0.972	0.176	-0.523	-0.668
	0.0290	1.74e+07	-0.002	1.008	1.716	1.624	1.375	0.998	0.193	-0.510	-0.656
	0.0290	1.78e+07	0.033	1.040	1.750	1.660	1.408	1.025	0.211	-0.497	-0.644
	0.0290	1.82e+07	0.072	1.065	1.779	1.700	1.457	1.083	0.281	-0.423	-0.569
	0.0290	1.86e+07	0.111	1.091	1.813	1.750	1.515	1.146	0.345	-0.364	-0.510
	0.0290	1.91e+07	0.146	1.110	1.828	1.770	1.544	1.189	0.407	-0.292	-0.436
	0.0290	1.95e+07	0.174	1.129	1.841	1.782	1.558	1.205	0.428	-0.268	-0.411
	0.0290	2.00e+07	0.201	1.149	1.855	1.795	1.571	1.221	0.450	-0.244	-0.387
	0.0290	2.04e+07	0.229	1.168	1.868	1.807	1.585	1.238	0.471	-0.220	-0.362
	0.0290	2.09e+07	0.258	1.188	1.882	1.820	1.599	1.254	0.492	-0.196	-0.337
	0.0290	2.14e+07	0.286	1.208	1.896	1.833	1.612	1.270	0.514	-0.172	-0.313
	0.0290	2.19e+07	0.315	1.228	1.910	1.846	1.626	1.287	0.535	-0.148	-0.288
	0.0290	2.24e+07	0.344	1.248	1.924	1.859	1.641	1.303	0.556	-0.124	-0.264
	0.0290	2.29e+07	0.373	1.269	1.939	1.873	1.655	1.320	0.578	-0.101	-0.239
	0.0290	2.34e+07	0.402	1.289	1.953	1.886	1.669	1.336	0.599	-0.077	-0.215
	0.0290	2.40e+07	0.431	1.309	1.967	1.899	1.684	1.353	0.620	-0.053	-0.191
	0.0290	2.45e+07	0.460	1.329	1.982	1.913	1.698	1.370	0.642	-0.029	-0.167
	0.0290	2.51e+07	0.490	1.350	1.997	1.927	1.713	1.387	0.663	-0.006	-0.143
	0.0290	2.57e+07	0.520	1.372	2.012	1.941	1.728	1.404	0.684	0.017	-0.118
	0.0290	2.63e+07	0.550	1.392	2.026	1.955	1.743	1.421	0.705	0.041	-0.095
	0.0290	2.69e+07	0.580	1.413	2.041	1.969	1.757	1.438	0.726	0.064	-0.071
	0.0290	2.75e+07	0.610	1.435	2.056	1.983	1.772	1.455	0.747	0.088	-0.047
	0.0290	2.82e+07	0.641	1.456	2.071	1.998	1.788	1.472	0.768	0.110	-0.023
	0.0290	2.88e+07	0.671	1.478	2.086	2.012	1.803	1.489	0.789	0.134	0.001
	0.0290	2.95e+07	0.702	1.500	2.102	2.027	1.818	1.506	0.810	0.157	0.024
	0.0290	3.02e+07	0.735	1.522	2.118	2.043	1.837	1.529	0.840	0.191	0.059
	0.0290	3.09e+07	0.768	1.543	2.133	2.060	1.858	1.555	0.876	0.230	0.100
	0.0290	3.16e+07	0.802	1.566	2.153	2.081	1.881	1.583	0.912	0.271	0.141
	0.0290	3.24e+07	0.834	1.588	2.168	2.093	1.894	1.600	0.940	0.306	0.178
	0.0290	3.31e+07	0.863	1.611	2.183	2.104	1.904	1.612	0.958	0.328	0.202
	0.0290	3.39e+07	0.894	1.634	2.200	2.117	1.915	1.624	0.976	0.351	0.226
	0.0290	3.47e+07	0.924	1.657	2.218	2.130	1.928	1.638	0.994	0.373	0.249
	0.0290	3.55e+07	0.955	1.682	2.236	2.145	1.941	1.652	1.013	0.396	0.273
	0.0290	3.63e+07	0.986	1.706	2.255	2.161	1.956	1.667	1.032	0.418	0.295
	0.0290	3.72e+07	1.017	1.731	2.275	2.177	1.971	1.682	1.050	0.439	0.318
	0.0290	3.80e+07	1.049	1.757	2.295	2.195	1.987	1.699	1.069	0.460	0.340
	0.0290	3.89e+07	1.081	1.782	2.316	2.214	2.005	1.716	1.088	0.481	0.362
	0.0290	3.98e+07	1.112	1.808	2.337	2.233	2.023	1.735	1.108	0.502	0.384
	0.0290	4.07e+07	1.145	1.834	2.359	2.253	2.042	1.754	1.127	0.523	0.405
	0.0290	4.17e+07	1.178	1.861	2.382	2.275	2.063	1.774	1.147	0.544	0.427
	0.0290	4.27e+07	1.211	1.889	2.405	2.297	2.084	1.796	1.168	0.564	0.448
	0.0290	4.37e+07	1.245	1.917	2.429	2.321	2.108	1.818	1.189	0.585	0.469
	0.0290	4.47e+07	1.279	1.945	2.453	2.345	2.132	1.842	1.210	0.605	0.490
	0.0290	4.57e+07	1.314	1.975	2.478	2.371	2.157	1.867	1.233	0.626	0.510
	0.0290	4.68e+07	1.350	2.005	2.504	2.399	2.185	1.893	1.256	0.647	0.531
	0.0290	4.79e+07	1.386	2.036	2.531	2.428	2.214	1.921	1.280	0.667	0.551
	0.0290	4.90e+07	1.427	2.059	2.553	2.459	2.255	1.973	1.347	0.741	0.627
	0.0290	5.01e+07	1.464	2.081	2.575	2.494	2.297	2.021	1.400	0.791	0.676
	0.0290	5.13e+07	1.501	2.102	2.595	2.522	2.334	2.066	1.456	0.851	0.736
	0.0290	5.25e+07	1.535	2.123	2.612	2.541	2.358	2.098	1.504	0.909	0.796
	0.0290	5.37e+07	1.562	2.144	2.627	2.555	2.372	2.114	1.522	0.929	0.817
	0.0290	5.50e+07	1.589	2.166	2.642	2.570	2.387	2.129	1.540	0.949	0.838
	0.0290	5.62e+07	1.617	2.188	2.658	2.584	2.401	2.145	1.558	0.969	0.858
	0.0290	5.75e+07	1.645	2.210	2.674	2.599	2.416	2.160	1.576	0.989	0.879
	0.0290	5.89e+07	1.673	2.232	2.690	2.613	2.431	2.176	1.594	1.008	0.899
	0.0290	6.03e+07	1.701	2.254	2.706	2.628	2.446	2.192	1.612	1.029	0.919
	0.0290	6.17e+07	1.729	2.277	2.723	2.643	2.461	2.208	1.630	1.048	0.939
	0.0290	6.31e+07	1.757	2.300	2.740	2.658	2.476	2.224	1.648	1.068	0.960
	0.0290	6.46e+07	1.786	2.323	2.757	2.674	2.491	2.240	1.665	1.087	0.979
	0.0290	6.61e+07	1.814	2.346	2.774	2.689	2.507	2.256	1.683	1.106	0.999
	0.0290	6.76e+07	1.842	2.369	2.790	2.705	2.523	2.274	1.704	1.130	1.024
	0.0290	6.92e+07	1.871	2.390	2.806	2.721	2.541	2.296	1.731	1.161	1.055
	0.0290	7.08e+07	1.900	2.412	2.823	2.740	2.562	2.319	1.756	1.187	1.081
	0.0290	7.24e+07	1.929	2.434	2.839	2.757	2.582	2.341	1.782	1.214	1.108
	0.0290	7.41e+07	1.959	2.456	2.856	2.774	2.601	2.364	1.813	1.251	1.147
	0.0290	7.59e+07	1.986	2.478	2.871	2.788	2.615	2.379	1.830	1.270	1.167
	0.0290	7.76e+07	2.013	2.500	2.887	2.802	2.629	2.394	1.847	1.289	1.186
	0.0290	7.94e+07	2.040	2.523	2.903	2.817	2.643	2.409	1.865	1.309	1.207
	0.0290	8.13e+07	2.067	2.546	2.919	2.831	2.658	2.424	1.882	1.328	1.226
	0.0290	8.32e+07	2.094	2.569	2.936	2.846	2.673	2.439	1.900	1.348	1.247
	0.0290	8.51e+07	2.121	2.592	2.952	2.861	2.687	2.455	1.917	1.368	1.267
	0.0290	8.71e+07	2.148	2.615	2.968	2.875	2.702	2.470	1.935	1.387	1.287
	0.0290	8.91e+07	2.175	2.639	2.985	2.891	2.717	2.486	1.952	1.407	1.308
	0.0290	9.12e+07	2.203	2.662	3.002	2.906	2.732	2.502	1.970	1.427	1.328
	0.0290	9.33e+07	2.230	2.686	3.019	2.921	2.747	2.518	1.988	1.447	1.348
