# File generated by CMD 2.7 (http://stev.oapd.inaf.it/cmd) on Mon Jun 15 15:25:33 CEST 2015
# Basic reference: Marigo et al. (2008, A&A 482, 883) 
# but applying the corrections from Case A in Girardi et al. (2010, ApJ 724, 1030) 
# + Bertelli et al. (1994, A&AS, 106, 275) for the Mi>7.0 Msun interval
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using OBC version of bolometric corrections as detailed in Marigo et al. (2008, A&A 482, 883) and Girardi et al. (2008, PASP 120, 583)
# BCs of Carbon stars derive from Loidl et al. (2001, A&A 342, 531)
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: SSP integrated magnitudes
#	Z	Age		mbol    U       B       V       R       I       J       H       K
	0.0210	3.98e+06	-2.306	-1.089	-0.173	0.022	0.099	0.207	0.464	0.530	0.593
	0.0210	4.07e+06	-2.270	-1.060	-0.157	0.034	0.107	0.211	0.461	0.523	0.584
	0.0210	4.17e+06	-2.255	-1.025	-0.134	0.052	0.123	0.223	0.465	0.524	0.583
	0.0210	4.27e+06	-2.219	-0.987	-0.107	0.075	0.143	0.240	0.474	0.529	0.586
	0.0210	4.37e+06	-2.181	-0.938	-0.068	0.112	0.178	0.272	0.498	0.550	0.604
	0.0210	4.47e+06	-2.142	-0.890	-0.034	0.140	0.203	0.291	0.506	0.552	0.604
	0.0210	4.57e+06	-2.102	-0.817	0.057	0.232	0.295	0.383	0.594	0.634	0.683
	0.0210	4.68e+06	-2.065	-0.778	0.110	0.291	0.356	0.448	0.665	0.705	0.756
	0.0210	4.79e+06	-2.035	-0.736	0.166	0.348	0.414	0.506	0.720	0.754	0.803
	0.0210	4.90e+06	-2.004	-0.696	0.218	0.401	0.466	0.557	0.763	0.787	0.833
	0.0210	5.01e+06	-1.969	-0.662	0.264	0.446	0.509	0.597	0.790	0.800	0.842
	0.0210	5.13e+06	-1.931	-0.641	0.293	0.473	0.534	0.616	0.792	0.783	0.820
